"placement","0.32693479095594336"
"component","0.30876369494217604"
"components","0.2434820946792005"
"documents","0.22907268296853878"
"jobs","0.2036201626387011"
"g1","0.19161585939081333"
"casting","0.1914029528803791"
"aluminium","0.17104093661650896"
"assembly","0.16661107889887972"
"iatma","0.1661308619155652"
"turret","0.14604224968803772"
"cls","0.1425341138470908"
"values","0.13964489575524552"
"processing","0.13031690408876873"
"atma","0.12143126929344883"
"pcb","0.11996990328598403"
"phase","0.11809969433044666"
"cf","0.11783783248049001"
"afpp","0.11745386538403302"
"feeder","0.110512069362783"
"cl","0.10995488782489861"
"text","0.09817400698651661"
"word","0.09817400698651661"
"google","0.09817400698651661"
"cloud","0.09817400698651661"
"folder","0.09817400698651661"
"peptc","0.09784639628467062"
"board","0.0964938046428456"
"rrtlem","0.09034912721848694"
"performance","0.08942178604414276"
"fig","0.08733748964453737"
"setup","0.08682525402621204"
"epd","0.08432585207058782"
"download","0.08379972732732562"
"xjp","0.08126747067620002"
"placed","0.07907139754618571"
"example","0.07741628397096983"
"december","0.07737566180270643"
"input","0.07345104619225887"
"vol","0.07221935420961145"
"pepcg1","0.06930786403497502"
"schedule","0.06923085529715839"
"alloy","0.06923085529715839"
"lb","0.06741546282646875"
"following","0.06710559114282341"
"scholar","0.06544933799101108"
"descending","0.06544933799101108"
"sorted","0.06544933799101108"
"frequent","0.06544933799101108"
"coupled","0.06544933799101108"
